商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
【dadawoca】立ち仕事やスポーツに 衝撃吸収 通気性抜群 快適インソール 男女兼用,"1,565万円",8.8%,35008,4.4,447円,8%,679,53.02%,2026-02-27,靴,78万円,"1,487万円",https://shop.tiktok.com/view/product/1734457168415852113?region=JP,https://www.kalodata.com/product/detail?id=1734457168415852113
【肉厚1kg　銀鮭】 切り身 チリ産 冷凍 塩鮭 焼き魚 お弁当 朝ごはん 業務用,"1,564万円",-68.7%,2829,4.4,"5,527円",1%,3,33.33%,2026-08-18,食品・飲料,"1,310万円",253万円,https://shop.tiktok.com/view/product/1737094394830161304?region=JP,https://www.kalodata.com/product/detail?id=1737094394830161304
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),"1,553万円",166.6%,758,4.5,2万円,-,13,100%,2026-04-25,美容・パーソナルケア,0円,"1,553万円",https://shop.tiktok.com/view/product/1735246221308953789?region=JP,https://www.kalodata.com/product/detail?id=1735246221308953789
【7種から選べる】  銀鮭 切り身  10切れ 加熱用 鮭 さけ サケ 焼き鮭 焼き魚 魚 さかな 冷凍 家庭用 お弁当用 おかず 惣菜 送料無料 お中元 御中元,"1,493万円",-22.1%,2705,4.7,"5,518円",5%,215,48.84%,2025-11-11,食品・飲料,"1,253万円",240万円,https://shop.tiktok.com/view/product/1732154575986853056?region=JP,https://www.kalodata.com/product/detail?id=1732154575986853056
【BARGOCH】ストッパー付き スーツケース 機内持ち込み フレームタイプ S/M/Lサイズ USB充電ポート カップホルダー 軽量 大容量 キャリーケース ダイヤルロック ダブルキャスター バッグ 1-3泊 4-6泊 7泊～ 最大2年保証,"1,444万円",28.3%,1822,4.6,"7,927円",12%,208,21.63%,2025-12-13,旅行かばん・バッグ,868万円,576万円,https://shop.tiktok.com/view/product/1733560167057032851?region=JP,https://www.kalodata.com/product/detail?id=1733560167057032851
【福袋1つプレゼント】動物シリーズぷにぷにスクイーズ すぐ戻るスクイーズ  ストレス解消になるおもちゃ,"1,419万円",-23%,7217,4.8,"1,967円",8%,364,43.41%,2026-05-20,おもちゃ・趣味,16万円,"1,404万円",https://shop.tiktok.com/view/product/1735477978855147359?region=JP,https://www.kalodata.com/product/detail?id=1735477978855147359
【マイクロカレント搭載】【公式】SALONIA サロニア フェイスカレントポインター さろにあ ペン型美顔器,"1,368万円",99.6%,1502,4.6,"9,105円",-,41,82.93%,2026-03-02,美容・パーソナルケア,"1,313万円",55万円,https://shop.tiktok.com/view/product/1734389885232514634?region=JP,https://www.kalodata.com/product/detail?id=1734389885232514634
カームセブンスージングセラム(CALM-7 SOOTHING SERUM) 30ml 1本 KINUI キヌユイ,"1,357万円",-16.6%,8899,4.3,"1,525円",15%,1064,24.06%,2025-12-25,美容・パーソナルケア,78万円,"1,280万円",https://shop.tiktok.com/view/product/1733684770407417639?region=JP,https://www.kalodata.com/product/detail?id=1733684770407417639
キルティングナイロンバッグ キルティング バッグ レディース 2way トートバッグ B5サイズ BAG 撥水 ボトルポケットハンドバッグ ショルダーバッグ 軽量 上品 おしゃれ 通勤 ギフト プレゼント【euni-255】,"1,338万円",-75.1%,2643,4.5,"5,064円",9%,261,31.03%,2026-01-17,旅行かばん・バッグ,953万円,385万円,https://shop.tiktok.com/view/product/1734019248423143218?region=JP,https://www.kalodata.com/product/detail?id=1734019248423143218
生活応援米 コスパ米《令和7年産》お米 国産 精米 白米 ブレンド米,"1,243万円",9.3%,6953,4.7,"1,788円",1%,323,58.51%,2026-01-07,食品・飲料,628万円,615万円,https://shop.tiktok.com/view/product/1733872422934381808?region=JP,https://www.kalodata.com/product/detail?id=1733872422934381808
グラムと骨取り・骨ありが選べる！さば 無添加 無塩 トロさば サバ 鯖約1kg or 約2kgトロ鯖 海鮮 天然 美味しい 魚 魚介 海産物 おかず おつまみ 乾き物 酒の肴 贈り物 お取り寄せグルメ 食べ物 お歳暮,"1,238万円",-55.3%,2425,4.7,"5,107円",5%,234,46.15%,2025-11-30,食品・飲料,579万円,660万円,https://shop.tiktok.com/view/product/1733347332364797120?region=JP,https://www.kalodata.com/product/detail?id=1733347332364797120
【公式】 ELLISS-エルリス シャイニングショット シャインマスカット風味 30包,"1,216万円",-46%,7127,4.4,"1,707円",10%,392,42.35%,2026-02-18,健康,147万円,"1,069万円",https://shop.tiktok.com/view/product/1734414309899863221?region=JP,https://www.kalodata.com/product/detail?id=1734414309899863221
